Date,Difference
2023-05-25T12:38:02Z,0
2023-05-26T14:20:39Z,1
2023-05-26T14:26:15Z,1
2023-05-26T14:30:03Z,1
2023-05-26T14:33:34Z,1
2023-05-26T14:37:27Z,1
2023-05-26T14:45:19Z,1
2023-05-26T14:46:10Z,1
2023-05-26T14:50:02Z,1
2023-05-26T14:57:20Z,1
2023-05-26T14:58:02Z,1
2023-05-26T14:59:00Z,1
2023-05-26T15:00:10Z,1
2023-05-26T15:01:04Z,1
2023-05-26T15:01:40Z,1
2023-05-26T15:02:25Z,1
2023-05-26T15:02:52Z,1
2023-05-26T15:03:04Z,1
2023-05-26T15:03:14Z,1
2023-05-26T15:03:20Z,1
2023-05-26T15:03:31Z,1
2023-05-26T15:03:38Z,1
2023-05-26T15:03:50Z,1
2023-05-26T15:03:57Z,1
2023-05-26T15:04:08Z,1
2023-05-26T15:04:15Z,1
2023-05-26T15:04:24Z,1
2023-05-26T15:04:32Z,1
2023-05-26T15:04:43Z,1
2023-05-26T15:04:44Z,1
2023-05-26T15:04:51Z,1
2023-05-26T15:05:04Z,1
2023-05-26T15:05:14Z,1
2023-05-26T15:05:27Z,1
2023-05-26T15:05:39Z,1
2023-05-26T15:05:54Z,1
2023-05-26T15:06:08Z,1
2023-05-26T15:06:35Z,1
2023-05-26T15:07:03Z,1
2023-05-26T15:08:17Z,1
2023-05-26T15:08:18Z,1
2023-05-26T15:14:51Z,1
2023-05-26T15:56:18Z,1
2023-05-26T16:00:29Z,1
2023-05-26T16:01:43Z,1
2023-05-26T16:02:34Z,1
2023-05-26T16:03:45Z,1
2023-05-26T16:04:31Z,1
2023-05-26T16:09:15Z,1
2023-05-26T16:13:11Z,1
2023-05-26T16:17:56Z,1
2023-05-26T16:38:42Z,1
2023-05-26T17:49:24Z,1
2023-05-26T17:50:16Z,1
2023-05-26T17:50:52Z,1
2023-05-26T17:51:11Z,1
2023-05-26T17:51:28Z,1
2023-05-26T17:51:39Z,1
2023-05-26T17:51:57Z,1
2023-05-26T17:52:16Z,1
2023-05-26T17:52:40Z,1
2023-05-26T17:52:59Z,1
2023-05-26T17:53:15Z,1
2023-05-26T17:53:26Z,1
2023-05-26T17:53:43Z,1
2023-05-26T17:54:04Z,1
2023-05-26T17:54:39Z,1
2023-05-26T17:55:05Z,1
2023-05-26T17:55:29Z,1
2023-05-26T17:55:30Z,1
2023-05-26T17:55:45Z,1
2023-05-26T17:56:28Z,1
2023-05-26T17:57:07Z,1
2023-05-26T17:57:26Z,1
2023-05-26T17:57:45Z,1
2023-05-26T17:58:36Z,1
2023-05-26T18:01:29Z,1
2023-05-26T18:02:52Z,1
2023-05-26T18:05:17Z,1
2023-05-26T18:16:12Z,1
2023-05-26T18:19:20Z,1
2023-05-26T18:23:38Z,1
2023-05-26T18:23:39Z,1
2023-05-26T18:27:39Z,1
2023-05-26T18:37:13Z,1
2023-05-26T18:37:45Z,1
2023-05-26T18:38:49Z,1
2023-05-26T18:40:29Z,1
2023-05-26T18:48:05Z,1
2023-05-26T18:51:48Z,1
2023-05-26T18:55:13Z,1
2023-05-26T18:58:35Z,1
2023-05-26T19:00:26Z,1
2023-05-26T19:02:24Z,1
2023-05-26T19:03:55Z,1
2023-05-26T19:04:32Z,1
2023-05-26T19:05:14Z,1
2023-05-26T19:05:53Z,1
2023-05-26T19:07:11Z,1
2023-05-26T19:08:23Z,1
2023-05-26T19:09:55Z,1
2023-05-26T19:10:38Z,1
2023-05-26T19:11:22Z,1
2023-05-26T19:11:50Z,1
2023-05-26T19:12:25Z,1
2023-05-26T19:12:26Z,1
2023-05-26T19:13:15Z,1
2023-05-26T19:32:31Z,1
2023-06-04T08:55:25Z,1
2023-06-04T09:03:38Z,1
2023-06-04T09:06:20Z,1
2023-06-04T14:51:20Z,1
2023-06-04T14:52:13Z,1
2023-06-04T14:55:46Z,1
2023-06-04T14:59:02Z,1
2023-06-04T15:04:47Z,1
2023-06-04T16:21:25Z,1
2023-06-04T16:24:00Z,1
2023-06-04T16:29:56Z,1
2023-06-04T16:37:46Z,1
2023-06-04T16:39:03Z,1
2023-06-04T16:41:29Z,1
2023-06-04T16:43:43Z,1
2023-06-04T16:47:14Z,1
2023-06-04T16:54:07Z,1
2023-06-08T09:21:42Z,1
2023-06-08T09:38:27Z,1
2023-06-08T09:44:34Z,1
2023-06-08T09:46:28Z,1
2023-06-08T09:49:09Z,1
2023-06-10T05:23:57Z,1
2023-06-10T06:08:17Z,1
2023-06-10T06:12:14Z,1
2023-06-10T06:13:58Z,1
2023-06-10T06:21:57Z,1
2023-06-10T07:07:36Z,1
2023-06-10T07:22:09Z,1
2023-06-10T07:31:32Z,1
2023-06-10T07:32:40Z,1
2023-06-10T07:33:25Z,1
2023-06-10T07:34:07Z,1
2023-06-10T07:37:14Z,1
2023-06-10T08:24:53Z,1
2023-06-10T08:28:18Z,1
2023-06-10T08:29:24Z,1
2023-06-10T08:30:13Z,1
2023-06-10T08:31:27Z,1
2023-06-10T10:27:49Z,1
2023-06-10T14:17:08Z,1
2023-06-10T14:17:30Z,1
2023-06-10T14:17:43Z,1
2023-06-10T14:17:58Z,1
2023-06-10T14:18:13Z,1
2023-06-10T14:18:29Z,1
2023-06-10T14:18:45Z,1
2023-06-10T14:19:16Z,1
2023-06-10T14:20:01Z,1
2023-06-10T14:24:04Z,1
2023-06-15T14:38:28Z,0
